Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,0,9,2,22.2,0.64,0.14,0,0,17.8,1,0,0,0.6,0.6,0.06,-0.6,-0.6
Lucas Digne,fr FRA,DF,Everton,28,1993,13,0,9,1,11.1,0.69,0.08,0,0,21.1,3,0,0,0.4,0.4,0.05,-0.4,-0.4
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,0,2,2,100,0.19,0.19,0,0,7.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,0,11,1,9.1,2.17,0.2,0,0,16.1,0,0,0,1.5,1.5,0.14,-1.5,-1.5
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,2,16,6,37.5,1.65,0.62,0.13,0.33,13.8,0,0,0,2.5,2.5,0.16,-0.5,-0.5
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,5,30,12,40,0.88,0.35,0.17,0.42,11,0,0,0,2.7,2.7,0.09,2.3,2.3
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,2,34,10,29.4,1.21,0.35,0.06,0.2,17.3,0,0,0,2.7,2.7,0.08,-0.7,-0.7
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,1,8,2,25,0.79,0.2,0.13,0.5,22.1,3,0,0,1.2,1.2,0.15,-0.2,-0.2
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,1,21,5,23.8,1.32,0.31,0.05,0.2,9.4,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,1,19,7,36.8,0.66,0.24,0.05,0.14,10,0,0,0,1.2,1.2,0.06,-0.2,-0.2
Ederson,br BRA,GK,Manchester City,27,1993,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,6,38,17,44.7,2.19,0.98,0.13,0.29,12.7,0,1,1,6.6,5.8,0.15,-0.6,-0.8
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,2,21,7,33.3,1.56,0.52,0.1,0.29,15.4,0,0,0,3,3,0.14,-1,-1
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,0,10,1,10,2.6,0.26,0,0,17.2,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,0,8,2,25,0.89,0.22,0,0,25.7,0,0,0,0.2,0.2,0.02,-0.2,-0.2
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,4,43,17,39.5,1.9,0.75,0.09,0.24,13.7,0,0,0,6,6,0.15,-2,-2
Emerson,br BRA,DF,Tottenham,22,1999,25.4,1,15,4,26.7,0.59,0.16,0.07,0.25,14.6,0,0,0,1.5,1.5,0.1,-0.5,-0.5
