Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,0,0,0,4,1,0,1,2,2,0,0,0,11,5,15,25
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,1,0,0,0,3,0,0,0,0,0,0,0,79,0,0,
Ben Foster,eng ENG,GK,Watford,38,1983,26,0,0,0,1,4,0,0,0,0,0,1,0,131,0,0,
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,3,0,0,12,24,2,61,16,4,0,0,0,82,7,23,23.3
Fred,br BRA,MF,Manchester Utd,28,1993,22.5,5,0,0,43,35,0,2,49,38,1,0,1,253,16,14,53.3
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,1,0,0,3,1,0,8,6,2,0,0,0,27,6,1,85.7
Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,0,0,0,1,1,0,3,4,2,0,0,0,14,4,2,66.7
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,10,0,0,84,72,2,67,43,44,1,0,0,278,35,40,46.7
Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,0.4,1,0,0,2,2,0,0,1,0,0,0,0,1,1,3,25
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,0,0,0,0,1,0,0,0,1,0,0,0,7,1,0,100
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,0,0,0,0,1,0,0,0,0,0,0,0,113,0,0,
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,4,0,0,21,28,5,5,4,6,2,0,0,41,8,31,20.5
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,2,0,0,9,7,2,11,2,3,0,0,0,27,11,9,55
Anwar El Ghazi,nl NED,FW,Everton,26,1995,0.1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,6,2,0,0,13,12,0,14,7,8,1,0,0,54,8,15,34.8
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,2,0,0,18,26,0,30,36,23,0,0,0,119,10,9,52.6
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,1,0,0,2,1,0,0,0,0,0,0,0,3,0,2,0
Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,5,1,1,14,10,0,0,48,17,0,2,0,201,67,33,67
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,2,0,0,45,21,1,19,33,22,0,1,0,177,12,26,31.6
Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,6,0,0,17,14,0,14,48,26,0,0,0,161,51,36,58.6
André Gomes,pt POR,MF,Everton,28,1993,6.9,3,0,0,33,8,0,3,11,9,0,0,0,82,6,13,31.6
Toti Gomes,pt POR,DF,Wolves,22,1999,4,1,0,0,2,3,1,1,10,3,0,0,0,42,15,11,57.7
Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,2,0,0,5,3,0,17,12,4,0,0,0,44,13,6,68.4
Charlie Goode,eng ENG,DF,Brentford,25,1995,5,3,0,0,7,8,0,14,5,5,0,1,0,58,19,9,67.9
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,4,0,0,30,69,8,71,36,36,2,0,0,166,18,47,27.7
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,0,0,0,3,6,0,1,1,1,0,0,0,20,5,3,62.5
Demarai Gray,eng ENG,MFFW,Everton,25,1996,26,3,0,0,14,45,3,57,16,19,0,0,0,142,6,53,10.2
Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,3,0,0,18,65,5,36,16,15,0,0,0,106,16,30,34.8
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,1,0,0,21,22,3,25,4,8,0,0,0,81,6,9,40
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,0,0,0,7,1,1,4,2,2,0,0,0,24,2,4,33.3
Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,1,0,0,19,11,4,66,16,20,0,0,0,184,19,29,39.6
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,2,0,0,1,2,0,0,0,0,0,1,0,148,0,0,
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,4,0,0,19,37,0,2,57,22,0,1,0,344,85,58,59.4
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,4,0,0,22,46,4,9,19,39,0,0,0,121,6,12,33.3
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,1,0,0,17,17,2,24,27,11,0,0,0,132,13,15,46.4
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,
Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,2,0,0,28,24,2,1,65,38,0,1,0,251,116,37,75.8
